chromosome	start	end	score
chr2	165201640	165201665	3.32
chr2	165201665	165201690	3.24
chr2	165201690	165201765	3
chr2	165201765	165201790	2.44
chr2	165201790	165201815	2
chr2	165201815	165201840	1.4
chr2	165201840	165201865	0.76
chr2	165202190	165202215	0.64
chr2	165202215	165202315	1
chr2	165202315	165202340	1.16
chr2	165202340	165202365	2.32
chr2	165202365	165202390	2.76
chr2	165202390	165202515	2
chr2	165202515	165202540	1.24
chr2	165202540	165202565	0.08
chr2	165202665	165202690	0.28
chr2	165202690	165202715	1
chr2	165202715	165202740	1.56
chr2	165202740	165202865	2
chr2	165202865	165202890	1.12
chr2	165202890	165202915	0.84
chr2	165203365	165203390	0.56
chr2	165203390	165203440	1
chr2	165203440	165203465	2.12
chr2	165203465	165203515	3
chr2	165203515	165203540	3.76
chr2	165203540	165203565	4.04
chr2	165203565	165203615	4
chr2	165203615	165203640	4.4
chr2	165203640	165203665	3.92
chr2	165203665	165203690	4.48
chr2	165203690	165203715	6.52
chr2	165203715	165203740	6
chr2	165203740	165203765	5.2
chr2	165203765	165203790	5
chr2	165203790	165203815	6.24
chr2	165203815	165203840	7.48
chr2	165203840	165203865	6.92
chr2	165203865	165203890	5.16
chr2	165203890	165203915	5.6
chr2	165203915	165203940	6
chr2	165203940	165203965	6.36
chr2	165203965	165203990	6.32
chr2	165203990	165204015	3.72
chr2	165204015	165204040	4.28
chr2	165204040	165204065	5.2
chr2	165204065	165204090	4.96
chr2	165204090	165204115	4.76
chr2	165204115	165204140	5
chr2	165204140	165204165	4.04
chr2	165204165	165204190	4
chr2	165204190	165204215	3.48
chr2	165204215	165204240	3.44
chr2	165204240	165204265	3.32
chr2	165204265	165204290	3.64
chr2	165204290	165204315	3
chr2	165204315	165204340	3.84
chr2	165204340	165204390	4
chr2	165204390	165204415	3.4
chr2	165204415	165204440	2
chr2	165204440	165204465	1.28
chr2	165204465	165204490	1
chr2	165204490	165204515	0.56
chr2	165205065	165205090	0.68
chr2	165205090	165205240	1
chr2	165205240	165205265	0.72
chr2	165205540	165205565	0.76
chr2	165205565	165205715	1
chr2	165205715	165205740	0.64
chr2	165205765	165205790	0.64
chr2	165205790	165205890	1
chr2	165205890	165205915	1.12
chr2	165205915	165205940	2
chr2	165205940	165205965	1.76
chr2	165205965	165206090	1
chr2	165206090	165206115	0.28
chr2	165206240	165206265	0.4
chr2	165206265	165206440	1
chr2	165207040	165207065	0.48
chr2	165207065	165207215	1
chr2	165207215	165207240	0.92
chr2	165207715	165207740	0.96
chr2	165207740	165207865	1
chr2	165207865	165207890	1.56
chr2	165207890	165207915	1.44
chr2	165207915	165208040	1
chr2	165208040	165208065	0.84
chr2	165208115	165208140	0.08
chr2	165208140	165208165	1
chr2	165208165	165208190	1.64
chr2	165208190	165208240	2
chr2	165208240	165208265	2.4
chr2	165208265	165208315	3
chr2	165208315	165208340	2.32
chr2	165208340	165208365	1.76
chr2	165208365	165208440	1
chr2	165208515	165208540	0.64
chr2	165208540	165208565	1
chr2	165208565	165208590	1.56
chr2	165208590	165208690	2
chr2	165208690	165208715	1.76
chr2	165208715	165208740	1
chr2	165208740	165208765	0.84
chr2	165208840	165208865	0.44
chr2	165208865	165209015	1
chr2	165209015	165209040	0.96
chr2	165209640	165209665	0.8
chr2	165209665	165209790	1
chr2	165209790	165209815	1.56
chr2	165209815	165209840	1.6
chr2	165209840	165209890	1
chr2	165209890	165209915	1.64
chr2	165209915	165209965	2
chr2	165209965	165209990	1.84
chr2	165209990	165210015	1
chr2	165210015	165210040	1.8
chr2	165210040	165210065	2
chr2	165210065	165210090	1.76
chr2	165210090	165210190	1
chr2	165210190	165210215	1.12
chr2	165210215	165210240	1
chr2	165210240	165210265	1.4
chr2	165210265	165210315	2
chr2	165210315	165210340	2.48
chr2	165210340	165210365	3
chr2	165210365	165210390	2.88
chr2	165210390	165210440	2
chr2	165210440	165210490	1
chr2	165210490	165210515	0.92
chr2	165210515	165210540	0.36
chr2	165210540	165210715	1
chr2	165210715	165210740	0.04
chr2	165212515	165212540	0.44
chr2	165212540	165212690	1
chr2	165212690	165212715	0.96
chr2	165212715	165212740	0.72
chr2	165212740	165212790	1
chr2	165212790	165212815	1.56
chr2	165212815	165212890	2
chr2	165212890	165212915	1.68
chr2	165212915	165212965	1
chr2	165212965	165212990	0.84
chr2	165213440	165213465	0.44
chr2	165213465	165213515	1
chr2	165213515	165213540	1.48
chr2	165213540	165213615	2
chr2	165213615	165213640	1.96
chr2	165213640	165213690	1
chr2	165213690	165213715	0.92
chr2	165213915	165213940	0.44
chr2	165213940	165214090	1
chr2	165214090	165214115	0.96
chr2	165214315	165214340	1.04
chr2	165214340	165214415	3
chr2	165214415	165214440	3.04
chr2	165214440	165214490	4
chr2	165214490	165214515	3.84
chr2	165214515	165214540	1.32
chr2	165214540	165214615	1
chr2	165214615	165214640	0.36
chr2	165216115	165216140	0.04
chr2	165216140	165216190	1
chr2	165216190	165216215	1.88
chr2	165216215	165216315	2
chr2	165216315	165216340	1.36
chr2	165216340	165216365	1
chr2	165216365	165216390	0.52
chr2	165216840	165216865	0.48
chr2	165216865	165217015	1
chr2	165217015	165217040	0.92
chr2	165217140	165217165	0.12
chr2	165217165	165217340	1
chr2	165217340	165217365	0.28
chr2	165217390	165217415	0.32
chr2	165217415	165217540	1
chr2	165217540	165217565	2.12
chr2	165217565	165217590	3
chr2	165217590	165217615	2.08
chr2	165217615	165217715	2
chr2	165217715	165217740	1.68
chr2	165219015	165219040	0.48
chr2	165219040	165219065	2.2
chr2	165219065	165219215	3
chr2	165219215	165219240	1.32
chr2	165219240	165219265	0.2
chr2	165219715	165219740	0.56
chr2	165219740	165219865	1
chr2	165219865	165219890	1.36
chr2	165219890	165219915	1.84
chr2	165219915	165220065	1
chr2	165220065	165220090	0.04
chr2	165220540	165220565	0.6
chr2	165220565	165220640	1
chr2	165220640	165220665	1.92
chr2	165220665	165220715	2
chr2	165220715	165220740	1.84
chr2	165220740	165220815	2
chr2	165220815	165220840	1.48
chr2	165220840	165220915	1
chr2	165220915	165220940	0.36
chr2	165220990	165221015	0.4
chr2	165221015	165221190	1
chr2	165221240	165221265	0.36
chr2	165221265	165221290	1.4
chr2	165221290	165221315	2.2
chr2	165221315	165221440	3
chr2	165221440	165221465	2.04
chr2	165221465	165221490	1
chr2	165221490	165221515	0.2
chr2	165221515	165221540	0.6
chr2	165221540	165221665	2
chr2	165221665	165221690	3.84
chr2	165221690	165221715	4
chr2	165221715	165221740	2.2
chr2	165221740	165221840	2
chr2	165221840	165221865	0.96
chr2	165221865	165221890	0.68
chr2	165221890	165222040	1
chr2	165222040	165222065	1.2
chr2	165222065	165222215	1
chr2	165222215	165222240	0.92
chr2	165222315	165222340	0.56
chr2	165222340	165222490	1
chr2	165222490	165222515	0.84
chr2	165222540	165222565	0.36
chr2	165222565	165222665	1
chr2	165222665	165222690	1.68
chr2	165222690	165222740	2
chr2	165222740	165222765	1.04
chr2	165222765	165222840	1
chr2	165222840	165222865	0.72
chr2	165223115	165223140	0.24
chr2	165223140	165223315	1
chr2	165223315	165223340	0.16
chr2	165224240	165224265	0.24
chr2	165224265	165224440	1
chr2	165224440	165224465	0.16
chr2	165224640	165224665	0.84
chr2	165224665	165224690	1
chr2	165224690	165224715	1.52
chr2	165224715	165224815	2
chr2	165224815	165224840	1.56
chr2	165224840	165224865	1
chr2	165224865	165224890	0.88
chr2	165226165	165226190	0.24
chr2	165226190	165226365	1
chr2	165226365	165226390	0.16
chr2	165226840	165226865	0.24
chr2	165226865	165227040	1
chr2	165227040	165227065	0.16
chr2	165227365	165227390	0.96
chr2	165227390	165227515	1
chr2	165227515	165227540	1.72
chr2	165227540	165227565	2.88
chr2	165227565	165227690	3
chr2	165227690	165227715	2.68
chr2	165227715	165227740	1.36
chr2	165227815	165227840	2.76
chr2	165227840	165227990	3
chr2	165227990	165228015	1.44
chr2	165228115	165228140	0.92
chr2	165228140	165228290	1
chr2	165228290	165228315	0.48
chr2	165228615	165228790	1
chr2	165228790	165228815	0.4
chr2	165228965	165228990	0.76
chr2	165228990	165229140	1
chr2	165229140	165229165	0.64
chr2	165229215	165229240	0.64
chr2	165229240	165229390	1
chr2	165229390	165229415	0.76
chr2	165229465	165229640	1
chr2	165229640	165229665	0.4
chr2	165229965	165229990	0.16
chr2	165229990	165230165	1
chr2	165230165	165230190	0.24
chr2	165230790	165230815	0.4
chr2	165230815	165230990	1
chr2	165231065	165231090	0.44
chr2	165231090	165231115	1.84
chr2	165231115	165231240	2
chr2	165231240	165231265	1.96
chr2	165231265	165231290	1.56
chr2	165231290	165231340	1
chr2	165231340	165231365	1.32
chr2	165231365	165231440	2
chr2	165231440	165231465	1.4
chr2	165231465	165231540	1
chr2	165231540	165231565	0.08
chr2	165231565	165231590	0.2
chr2	165231590	165231765	1
chr2	165231765	165231790	0.2
chr2	165231990	165232015	0.44
chr2	165232015	165232165	1
chr2	165232165	165232190	0.96
chr2	165232515	165232540	0.84
chr2	165232540	165232690	1
chr2	165232690	165232715	0.56
chr2	165232715	165232740	0.68
chr2	165232740	165232840	1
chr2	165232840	165232865	1.72
chr2	165232865	165232890	3
chr2	165232890	165232915	2.72
chr2	165232915	165232940	2
chr2	165232940	165232965	2.04
chr2	165232965	165233015	3
chr2	165233015	165233040	2.88
chr2	165233040	165233065	1.2
chr2	165233065	165233140	1
chr2	165233140	165233165	0.36
chr2	165233315	165233340	0.96
chr2	165233340	165233490	1
chr2	165233490	165233515	0.44
chr2	165233565	165233590	0.4
chr2	165233590	165233740	1
chr2	165233740	165233765	1.88
chr2	165233765	165233840	1
chr2	165233840	165233865	1.08
chr2	165233865	165233915	2
chr2	165233915	165233940	2.04
chr2	165233940	165233965	2.88
chr2	165233965	165234040	3
chr2	165234040	165234065	2.32
chr2	165234065	165234090	2
chr2	165234090	165234115	1.88
chr2	165234115	165234140	0.52
chr2	165234590	165234615	1.68
chr2	165234615	165234765	2
chr2	165234765	165234790	1.12
chr2	165234890	165234915	0.8
chr2	165234915	165235065	1
chr2	165235065	165235090	0.6
chr2	165235165	165235190	0.88
chr2	165235190	165235340	1
chr2	165235340	165235365	1.2
chr2	165235365	165235515	1
chr2	165235515	165235540	0.72
chr2	165236440	165236465	0.6
chr2	165236465	165236615	1
chr2	165236615	165236640	0.8
chr2	165237190	165237215	0.92
chr2	165237215	165237240	1.92
chr2	165237240	165237290	2
chr2	165237290	165237315	3.44
chr2	165237315	165237365	4
chr2	165237365	165237390	3.48
chr2	165237390	165237415	2.48
chr2	165237415	165237465	2
chr2	165237465	165237490	1.36
chr2	165237515	165237540	0.44
chr2	165237540	165237690	1
chr2	165237690	165237715	0.96
chr2	165238365	165238390	0.36
chr2	165238390	165238415	1
chr2	165238415	165238440	1.96
chr2	165238440	165238565	2
chr2	165238565	165238590	1.04
chr2	165238590	165238615	0.44
chr2	165238615	165238640	0.76
chr2	165238640	165238790	1
chr2	165238790	165238815	0.64
chr2	165239065	165239090	0.4
chr2	165239090	165239440	1
chr2	165239440	165239465	0.4
chr2	165239890	165239915	0.44
chr2	165239915	165240065	1
chr2	165240065	165240090	0.96
chr2	165240715	165240740	0.4
chr2	165240740	165240915	1
chr2	165240990	165241015	0.92
chr2	165241015	165241165	1
chr2	165241165	165241190	0.48
chr2	165241315	165241340	0.56
chr2	165241340	165241490	1
chr2	165241490	165241515	0.84
chr2	165241590	165241615	0.12
chr2	165241615	165241665	1
chr2	165241665	165241690	1.32
chr2	165241690	165241790	2
chr2	165241790	165241815	1.28
chr2	165241815	165241865	1
chr2	165241865	165241890	0.08
chr2	165242390	165242415	0.84
chr2	165242415	165242565	1
chr2	165242565	165242590	0.56
chr2	165242890	165242915	0.6
chr2	165242915	165242965	1
chr2	165242965	165242990	1.4
chr2	165242990	165243065	2
chr2	165243065	165243090	1.8
chr2	165243090	165243115	1.76
chr2	165243115	165243165	2
chr2	165243165	165243240	1
chr2	165243240	165243265	1.96
chr2	165243265	165243290	1.64
chr2	165243290	165243315	1
chr2	165243315	165243340	1.84
chr2	165243340	165243365	2
chr2	165243365	165243415	3
chr2	165243415	165243440	2.44
chr2	165243440	165243490	2
chr2	165243490	165243515	1.56
chr2	165243515	165243540	1
chr2	165243540	165243565	0.4
chr2	165243815	165243840	0.12
chr2	165243840	165243915	1
chr2	165243915	165243940	1.36
chr2	165243940	165244015	2
chr2	165244015	165244040	1.28
chr2	165244040	165244065	1.12
chr2	165244065	165244115	2
chr2	165244115	165244140	1.04
chr2	165244140	165244240	1
chr2	165244240	165244265	0.28
chr2	165244415	165244440	0.24
chr2	165244440	165244615	1
chr2	165244615	165244640	0.16
chr2	165244865	165244890	0.56
chr2	165244890	165244915	1.12
chr2	165244915	165245040	2
chr2	165245040	165245065	1.84
chr2	165245065	165245090	1
chr2	165245090	165245115	0.68
chr2	165245115	165245290	1
chr2	165245365	165245390	0.52
chr2	165245390	165245540	1
chr2	165245540	165245565	0.88
chr2	165245765	165245790	0.28
chr2	165245790	165245965	1
chr2	165245965	165245990	0.12
chr2	165246165	165246340	1
chr2	165246340	165246365	0.4
chr2	165246665	165246690	0.12
chr2	165246690	165246740	1
chr2	165246740	165246765	1.32
chr2	165246765	165246865	2
chr2	165246865	165246890	1.28
chr2	165246890	165246940	1
chr2	165246940	165246965	0.08
chr2	165247190	165247290	1
chr2	165247290	165247315	1.64
chr2	165247315	165247365	2
chr2	165247365	165247390	1.4
chr2	165247390	165247465	1
chr2	165247465	165247490	0.84
chr2	165247490	165247665	1
chr2	165247665	165247690	0.32
chr2	165247715	165247740	0.4
chr2	165247740	165247815	1
chr2	165247815	165247840	1.12
chr2	165247840	165247915	2
chr2	165247915	165247990	1
chr2	165247990	165248015	1.4
chr2	165248015	165248040	1.28
chr2	165248040	165248190	1
chr2	165248665	165248690	0.96
chr2	165248690	165248840	1
chr2	165248840	165248865	0.44
chr2	165249115	165249140	0.88
chr2	165249140	165249265	1
chr2	165249265	165249290	1.96
chr2	165249290	165249315	1.52
chr2	165249315	165249440	1
chr2	165249440	165249465	0.56
chr2	165249465	165249540	1
chr2	165249540	165249640	2
chr2	165249640	165249665	1.28
chr2	165249665	165249715	1
chr2	165249715	165249740	0.4
chr2	165251090	165251115	0.92
chr2	165251115	165251265	1
chr2	165251265	165251315	0.48
chr2	165251315	165251340	1
chr2	165251340	165251365	1.28
chr2	165251365	165251465	2
chr2	165251465	165251490	1.92
chr2	165251490	165251540	1
chr2	165251540	165251565	0.12
chr2	165252115	165252140	0.36
chr2	165252140	165252315	1
chr2	165252315	165252340	0.68
chr2	165252340	165252365	1
chr2	165252365	165252390	1.24
chr2	165252390	165252490	2
chr2	165252490	165252515	1.76
chr2	165252515	165252565	1
chr2	165252565	165252590	0.16
chr2	165252640	165252665	0.92
chr2	165252665	165252815	1
chr2	165252815	165252840	0.48
chr2	165252890	165252915	0.2
chr2	165252915	165252940	1
chr2	165252940	165252965	1.8
chr2	165252965	165253090	2
chr2	165253090	165253115	1.2
chr2	165253115	165253140	0.6
chr2	165253915	165253940	0.88
chr2	165253940	165254090	1
chr2	165254090	165254115	0.52
chr2	165254415	165254440	0.12
chr2	165254440	165254615	1
chr2	165254615	165254640	0.28
chr2	165254665	165254690	0.2
chr2	165254690	165254815	1
chr2	165254815	165254840	1.4
chr2	165254840	165254865	2
chr2	165254865	165254890	1.2
chr2	165254890	165255015	1
chr2	165255215	165255240	0.56
chr2	165255240	165255390	1
chr2	165255390	165255415	0.84
chr2	165255965	165255990	0.76
chr2	165255990	165256140	2
chr2	165256140	165256165	1.96
chr2	165256165	165256190	1.44
chr2	165256190	165256215	2.96
chr2	165256215	165256340	3
chr2	165256340	165256365	2.36
chr2	165256365	165256390	0.52
chr2	165256415	165256440	0.8
chr2	165256440	165256590	1
chr2	165256590	165256615	0.6
chr2	165256665	165256690	0.88
chr2	165256690	165256840	1
chr2	165256840	165256865	0.52
chr2	165256990	165257015	0.96
chr2	165257015	165257140	2
chr2	165257140	165257165	2.16
chr2	165257165	165257190	2.84
chr2	165257190	165257215	1
chr2	165257215	165257240	2.36
chr2	165257240	165257340	3
chr2	165257340	165257365	2.24
chr2	165257365	165257390	2
chr2	165257390	165257415	1.44
chr2	165257665	165257690	0.84
chr2	165257690	165257790	1
chr2	165257790	165257815	1.08
chr2	165257815	165257840	2.88
chr2	165257840	165257865	2.56
chr2	165257865	165257990	2
chr2	165257990	165258015	0.84
chr2	165258390	165258415	0.4
chr2	165258415	165258590	1
chr2	165259015	165259040	0.64
chr2	165259040	165259190	1
chr2	165259190	165259215	2.28
chr2	165259215	165259365	2
chr2	165259365	165259390	1.64
chr2	165259390	165259565	1
chr2	165259565	165259590	0.04
chr2	165259965	165259990	0.56
chr2	165259990	165260140	1
chr2	165260140	165260165	0.84
chr2	165260290	165260315	0.88
chr2	165260315	165260465	1
chr2	165260465	165260490	0.52
chr2	165260765	165260790	0.52
chr2	165260790	165260940	1
chr2	165260940	165260965	0.88
chr2	165261515	165261540	0.32
chr2	165261540	165261565	2
chr2	165261565	165261715	3
chr2	165261715	165261740	1.48
chr2	165261740	165261765	0.4
chr2	165262215	165262240	0.56
chr2	165262240	165262265	1.24
chr2	165262265	165262390	2
chr2	165262390	165262415	1.84
chr2	165262415	165262440	1
chr2	165262440	165262465	0.16
chr2	165263565	165263590	0.32
chr2	165263590	165263765	1
chr2	165263765	165263790	0.6
chr2	165263790	165263865	1
chr2	165263865	165263940	2
chr2	165263940	165263965	1.88
chr2	165263965	165264040	1
chr2	165264040	165264065	0.4
chr2	165264115	165264140	0.96
chr2	165264140	165264290	1
chr2	165264290	165264315	0.44
chr2	165264815	165264840	0.56
chr2	165264840	165264990	1
chr2	165264990	165265015	0.84
chr2	165266140	165266165	0.08
chr2	165266165	165266340	1
chr2	165266340	165266365	0.48
chr2	165266365	165266440	1
chr2	165266440	165266465	1.52
chr2	165266465	165266540	2
chr2	165266540	165266565	1.24
chr2	165266565	165266615	1
chr2	165266615	165266640	0.88
chr2	165266765	165266790	0.68
chr2	165266790	165266940	1
chr2	165266940	165266965	0.72
chr2	165267215	165267240	0.96
chr2	165267240	165267390	1
chr2	165267390	165267415	0.56
chr2	165267415	165267590	1
chr2	165267590	165267615	0.28
chr2	165267740	165267765	1.44
chr2	165267765	165267915	3
chr2	165267915	165267940	2.76
chr2	165267965	165268140	1
chr2	165268140	165268165	0.4
chr2	165268515	165268540	0.88
chr2	165268540	165268565	1
chr2	165268565	165268590	1.88
chr2	165268590	165268640	2
chr2	165268640	165268665	2.6
chr2	165268665	165268690	3
chr2	165268690	165268715	3.16
chr2	165268715	165268740	3.8
chr2	165268740	165268765	3.52
chr2	165268765	165268790	4.28
chr2	165268790	165268815	5
chr2	165268815	165268865	5.56
chr2	165268865	165268890	6.76
chr2	165268890	165268915	5.68
chr2	165268915	165268940	7.8
chr2	165268940	165268965	7.52
chr2	165268965	165268990	6
chr2	165268990	165269015	5.64
chr2	165269015	165269040	4.88
chr2	165269040	165269065	3.36
chr2	165269065	165269090	3
chr2	165269090	165269115	1.32
chr2	165269365	165269390	0.4
chr2	165269390	165269415	1
chr2	165269415	165269440	1.8
chr2	165269440	165269465	2.24
chr2	165269465	165269565	3
chr2	165269565	165269590	2
chr2	165269590	165269615	1.6
chr2	165269615	165269640	1
chr2	165269640	165269665	0.16
chr2	165270015	165270040	0.96
chr2	165270040	165270190	1
chr2	165270190	165270215	0.44
chr2	165270565	165270590	0.44
chr2	165270590	165270740	1
chr2	165270740	165270765	0.96
chr2	165270790	165270815	0.56
chr2	165270815	165270965	1
chr2	165270965	165270990	0.84
chr2	165271015	165271040	0.96
chr2	165271040	165271190	1
chr2	165271190	165271215	0.44
chr2	165271265	165271290	0.12
chr2	165271290	165271315	1
chr2	165271315	165271340	1.56
chr2	165271340	165271465	2
chr2	165271465	165271490	1.28
chr2	165271490	165271515	0.84
chr2	165271840	165271865	0.4
chr2	165271865	165272040	1
chr2	165272390	165272415	0.48
chr2	165272415	165272565	1
chr2	165272565	165272590	0.92
chr2	165272615	165272640	0.32
chr2	165272640	165272790	1
chr2	165272790	165272815	1.24
chr2	165272815	165272840	1.08
chr2	165272840	165272890	1
chr2	165272890	165272990	2
chr2	165272990	165273015	1.16
chr2	165273015	165273065	1
chr2	165273065	165273090	0.4
chr2	165273915	165273940	0.64
chr2	165273940	165274090	1
chr2	165274090	165274115	0.76
chr2	165274115	165274140	0.88
chr2	165274140	165274290	1
chr2	165274290	165274315	0.52
chr2	165274390	165274415	0.68
chr2	165274415	165274440	2.68
chr2	165274440	165274565	4
chr2	165274565	165274590	3.72
chr2	165274590	165274615	2.36
chr2	165274615	165274640	0.16
chr2	165274640	165274665	0.44
chr2	165274665	165274740	1
chr2	165274740	165274765	1.56
chr2	165274765	165274815	2
chr2	165274815	165274840	1.96
chr2	165274840	165274915	1
chr2	165274915	165274940	0.84
chr2	165274965	165274990	0.64
chr2	165274990	165275140	1
chr2	165275140	165275165	0.76
chr2	165275490	165275515	0.52
chr2	165275515	165275665	1
chr2	165275665	165275690	0.88
chr2	165275865	165275890	0.12
chr2	165275890	165276065	1
chr2	165276065	165276090	0.28
chr2	165276265	165276290	0.84
chr2	165276290	165276315	1
chr2	165276315	165276340	1.16
chr2	165276340	165276440	2
chr2	165276440	165276465	1.56
chr2	165276465	165276515	1
chr2	165276515	165276540	0.24
chr2	165276865	165276890	0.76
chr2	165276890	165277040	1
chr2	165277040	165277065	0.64
chr2	165277140	165277165	0.64
chr2	165277165	165277215	1
chr2	165277215	165277240	1.64
chr2	165277240	165277315	2
chr2	165277315	165277340	1.76
chr2	165277340	165277390	1
chr2	165277390	165277415	0.76
chr2	165277565	165277590	0.68
chr2	165277590	165277615	1.68
chr2	165277615	165277640	2.96
chr2	165277640	165277665	3
chr2	165277665	165277690	3.36
chr2	165277690	165277740	6
chr2	165277740	165277765	5.72
chr2	165277765	165277790	4.72
chr2	165277790	165277815	4.12
chr2	165277815	165277865	4
chr2	165277865	165277890	1.84
chr2	165277890	165277965	1
chr2	165277965	165277990	0.72
chr2	165277990	165278015	0.68
chr2	165278015	165278040	1.24
chr2	165278040	165278065	2
chr2	165278065	165278090	2.8
chr2	165278090	165278115	3.64
chr2	165278115	165278140	4
chr2	165278140	165278165	5.4
chr2	165278165	165278190	6.64
chr2	165278190	165278215	7.6
chr2	165278215	165278240	7.24
chr2	165278240	165278265	7.6
chr2	165278265	165278290	6.76
chr2	165278290	165278315	7.76
chr2	165278315	165278340	9.4
chr2	165278340	165278365	7.48
chr2	165278365	165278390	6.92
chr2	165278390	165278415	6
chr2	165278415	165278440	5.32
chr2	165278440	165278465	5.04
chr2	165278465	165278490	5.44
chr2	165278490	165278515	2.4
chr2	165278515	165278540	2.76
chr2	165278540	165278565	2.68
chr2	165278565	165278615	2
chr2	165278615	165278640	2.76
chr2	165278640	165278665	3.12
chr2	165278665	165278690	3.92
chr2	165278690	165278715	3.64
chr2	165278715	165278790	3
chr2	165278790	165278815	2.64
chr2	165278815	165278840	1.64
chr2	165278840	165278865	0.48
chr2	165279065	165279090	0.08
chr2	165279090	165279165	1
chr2	165279165	165279190	1.52
chr2	165279190	165279265	2
chr2	165279265	165279290	1.32
chr2	165279290	165279340	1
chr2	165279340	165279365	0.88
chr2	165279765	165279790	1.12
chr2	165279790	165279940	2
chr2	165279940	165279965	1.68
chr2	165280540	165280565	0.2
chr2	165280565	165280740	1
chr2	165280740	165280765	0.2
chr2	165281065	165281090	0.52
chr2	165281090	165281240	1
chr2	165281240	165281265	0.88
chr2	165281565	165281590	0.04
chr2	165281590	165281615	1
chr2	165281615	165281640	1.88
